,FIRETEAM,KILLS,SHOTS FIRED,SHOTS HIT,DEATH,STIMS USED,ACCIDENTALS,SAMPLES EXTRACTED,OperationStartTime,Difficulty,Host,Attendee 1,Attendee 2,Attendee 3,Enemy,Crashed missions,DateOnly
0,,2299,7504,4767,15,242,3,29,2024-12-06 08:00:00,8,Dalua,Zeeto,Castillo,Shockies,Automatons,,2024-12-06
1,,2376,4879,3030,15,52,5,88,2024-12-07 06:35:00,10,Dalua,Vulkov,Endymion,Slashed,Terminids,,2024-12-07
2,,3119,10963,6959,390,107,26,29,2024-12-08 11:40:00,10,Dalua,Rampart,Seeker,Slashed,Terminids,,2024-12-08
3,,2494,5640,3023,22,62,5,31,2024-12-13 08:30:00,8,Dalua,Bolide,Panzer,Scorpion,Illuminates,,2024-12-13
4,,2162,7245,4466,23,89,7,89,2024-12-19 11:00:00,9,Dalua,Brother,Bolide,Photon,Automatons,,2024-12-19
5,,1717,11274,9154,62,112,6,10,2024-12-20 08:30:00,10,Dalua,Snowfox,Bob,Jackdaw,Automatons,,2024-12-20
6,,2720,7022,5149,45,144,7,33,2024-12-22 04:45:00,10,Bakka,Viper,Dalua,Archfiend,Terminids,,2024-12-22
7,,3371,5712,4116,24,77,4,83,2024-12-22 11:00:00,10,Dalua,Panzer,Flipper,Bello,Terminids,,2024-12-22
8,,3029,10416,7430,29,68,3,87,2025-01-01 17:35:00,10,Roach,Castillo,Vector,Pengus,Terminids,,2025-01-01
9,,2483,3939,2058,21,68,20,38,2025-01-20 08:15:00,10,Dalua,Panzer,Hillbilly,Mescrope,Illuminates,,2025-01-20
10,,2843,3685,2661,26,109,9,146,2025-01-24 22:30:00,8,Hawkeye,Bello,Epsilon,Flipper,Terminids,,2025-01-24
11,,1163,2953,1832,11,108,8,37,2025-01-25 22:00:00,10,Hawkeye,Galaxc,Engel,Roach,Automatons,,2025-01-25
12,,3694,6236,4515,29,131,24,82,2025-01-26 10:15:00,10,Stark,RubberDucky,Dalua,Hydra,Terminids,,2025-01-26
