OperationStartTime,Difficulty,Host,Attendee 1,Attendee 2,Attendee 3,Enemy,Crashed missions
22/12/2024 4:45,10,Bakka,Viper,Dalua,Archfiend,Terminids,
13/12/2024 8:30,8,Dalua,Bolide,Panzer,Scorpion,Illuminates,
19/12/2024 11:00,9,Dalua,Brother,Bolide,Photon,Automatons,
6/12/2024 8:00,8,Dalua,Zeeto,Castillo,Shockies,Automatons,
7/12/2024 6:35,10,Dalua,Vulkov,Endymion,Slashed,Terminids,
22/12/2024 11:00,10,Dalua,Panzer,Flipper,Bello,Terminids,
20/01/2025 8:15,10,Dalua,Panzer,Hillbilly,Mescrope,Illuminates,
8/12/2024 11:40,10,Dalua,Rampart,Seeker,Slashed,Terminids,
20/12/2024 8:30,10,Dalua,Snowfox,Bob,Jackdaw,Automatons,
24/01/2025 22:30,8,Hawkeye,Bello,Epsilon,Flipper,Terminids,
25/01/2025 22:00,10,Hawkeye,Galaxc,Engel,Roach,Automatons,
1/01/2025 17:35,10,Roach,Castillo,Vector,Pengus,Terminids,
26/01/2025 10:15,10,Stark,RubberDucky,Dalua,Hydra,Terminids,
